,text_token
0,"['bmissruff89', 'charlotte', 'appreciate', 'frustrating', 'impacted', 'current', 'situation', 'can', 'asxe2x80xa6', 'httpstco323woztrtx']"
1,"['bberk_on_a_bike', 'ah', 'perfect', 'glad', 'hear', 'let', 'know', 'anything', 'else', '247', 'stay', 'safe', 'kev']"
2,"['bmichaelbasham', 'michael', 'deal', 'specifically', 'barclaycard', 'uk', 'friends', 'askbarclaysus', 'bexe2x80xa6', 'httpstcoscuqlkdxg9']"
3,"['bmarried_mumma', 'bex', 'maintenance', 'barclaycard', 'part', 'app', 'time', 'mexe2x80xa6', 'httpstcokigpvsqdmb']"
4,"['btahir_ahmed10', 'hello', 'tahir', 'late', 'reply', 'your', 'father', 'call', 'get', 'account', 'closedxe2x80xa6', 'httpstcoycbmthdylq']"
5,"['bjadeward10', 'jade', 'reply', 'you', 'also', 'dispute', 'transaction', 'online', 'right', 'herexe2x80xa6', 'httpstcoqert8bshcx']"
6,"['bdmusafer', 'hey', 'dhanish', 'maintenance', 'app', 'time', 'message', 'have', 'detail', 'since', 'reappear', 'rach']"
7,"['blauraa__marie', 'laura', 'hope', 'boyfriend', 'able', 'get', 'sort', 'web', 'page', 'numxe2x80xa6', 'httpstcon9o3xhene4']"
8,"['bfiestaman87', 'oh', 'great', 'glad', 'theyve', 'refund', 'correct', 'amount', 'stephen', 'give', 'shout', 'neexe2x80xa6', 'httpstcogmzb2ntqnc']"
9,"['btripc0de', 'michael', 'reply', 'wait', 'speak', 'phone', 'are', 'wanxe2x80xa6', 'httpstco6qkbk1ur5v']"
10,"['bjennife09331885', 'it', 'longer', 'would', 'expect', 'would', 'reach', 'back', 'currys', 'thaxe2x80xa6', 'httpstco8ozru1ekuj']"
11,"['bdanbashamcafc', 'daniel', 'reply', 'wait', 'speak', 'phone', 'youxe2x80xa6', 'httpstcoch2pjkp5eg']"
12,"['brsjn45', 'robin', 'reply', 'experience', 'youve', 'call', 'can', 'lexe2x80xa6', 'httpstcoz3qtzs94wz']"
13,"['bbpsportchat', 'brian', 'reply', 'you', 'request', 'transfer', 'credit', 'balance', 'baxe2x80xa6', 'httpstcoxymfxajg6n']"
14,"['bscuj1', 'john', 'reply', 'you', 'make', 'payment', 'youd', 'like', 'wont', 'affect', 'agreemxe2x80xa6', 'httpstcovxaejlc8px']"
15,"['bberk_on_a_bike', 'reply', 'did', 'manage', 'sort', 'cant', 'reply', 'yoxe2x80xa6', 'httpstcov7iktcvft4']"
16,"['bgirlmostlik3ly', 'do', 'think', 'youll', 'struggle', 'make', 'payment', 'sophie', 'kristos']"
